Object Name,Object Type,Location,Cluster Location,SLA Domain,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
302-sharebackup,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/24/2018 14:29,161.6,0,6.3,0
ABDEVAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/28/2018 12:25,26.9,0,-5.5,0
ABDEVAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,NL Two Weeks,8/17/2018 9:59,13,0,0,0
ABDEVAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ABDRAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
ABDRAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,10/23/2017 7:41,16.2,0,0,0
ABDRWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
ABDRWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,10/23/2017 7:41,5.3,0,-0.9,0
ABPRDAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,NL Two Weeks,11/15/2017 11:34,22.2,0,-3.1,0
ABPRDAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ABPRDWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,NL Two Weeks,11/15/2017 11:34,32.2,0,-5.4,0
ABPRDWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ACCD-CDS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/24/2018 4:21,52.7,0,402.6,0
ACCD-CDS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,12/22/2017 11:14,40.4,0,-350.9,0
ACCD-CDS-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ACCD-CMS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/24/2018 4:21,75,0,1307,0
ACCD-CMS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,12/22/2017 11:14,36.1,0,-388.6,0
ACCD-CMS-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ACCD-CVT-PROD,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/24/2018 4:21,18.7,0,215.3,0
ACCD-CVT-PROD,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,12/22/2017 11:14,14.8,0,-150.3,0
ACCD-CVT-PROD-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ACCD-CVT-QA,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/24/2018 4:21,20.8,0,228.3,0
ACCD-CVT-QA,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,12/22/2017 11:14,17,0,-171.7,0
ACCD-CVT-QA-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ACCDDEV,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/24/2018 4:20,106.7,0,542.2,0
ACCDDEV,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,10/23/2017 7:36,96.9,0,-223.3,0
ACCDDEV-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ACCD-DHCD,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/24/2018 4:21,615.6,0,380.1,0
ACCD-DHCD,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,12/22/2017 11:14,53.8,0,-282.8,0
ACCD-DHCD-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ACCD-SQL-Prod,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/24/2018 4:21,186.8,0,2830.3,0
ACCD-SQL-Prod,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,12/22/2017 11:14,114.1,0,-2296.9,0
ACCD-SQL-Prod-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ACCD-SQL-QA,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,9/24/2018 4:21,119.3,0,1815.5,0
ACCD-SQL-QA,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,12/22/2017 11:14,67.7,0,-1378.7,0
ACCD-SQL-QA-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ADS-CTODevCentOS7,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/21/2018 10:53,4.6,0,10.8,0
ADS-CTODEVWIN,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/21/2018 10:53,36.8,0,841.2,0
ADS-CTOSQL,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/18/2018 16:12,35.9,0,4.8,0
ADS-Solar-Flow,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,NL Two Weeks,11/6/2017 7:48,62.9,0,-60.3,0
ADS-Solar-Flow,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ADS-Solar-SQL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,NL Weekly large Snapshots,1/26/2018 9:52,181.5,0,1103.6,0
ADS-Solar-SQL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ADS-SolarWinds,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,NL Two Weeks,11/6/2017 7:48,266.1,0,3120.2,0
ADS-SolarWinds,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
AGO-Crusher,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,Unprotected,9/13/2018 16:19,0,0,-11199.9,0
AGO-Kirk,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,7/27/2018 14:17,24.2,0,63.2,0
AGO-Pike,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,7/27/2018 14:17,9.9,0,13.4,0
AGO-R2D2,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,7/27/2018 14:17,64.7,0,-859.8,0
AGO-Scotty,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,7/27/2018 14:17,36,0,11.8,0
AGO-Troy,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,7/27/2018 14:17,7042.9,0,39824,0
AGO-Voyager,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,7/27/2018 14:17,189.9,0,284.9,0
AGR-DBProd2008,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,54.9,0,637.4,0
AGR-DBProd2012,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,619.5,0,-1602.3,0
AGR-DBTest2008,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,50.2,0,15.9,0
AGR-DBTest2012,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,98,0,44.9,0
AGR-IFProd2008,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,44.6,0,-24,0
AGR-INDB2012,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,19.3,0,-31,0
AGR-Milk,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,77.8,0,2.5,0
AGR-OFProd2012,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,29.8,0,-92.8,0
AGR-OFWQ2012,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,47.3,0,-621.4,0
AGR-ProdDB02,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,61,0,12.2,0
AGR-Test2012,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,8/17/2018 10:08,46.1,0,44.9,0
AHS-2008DEV1,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
AHS-2008DEV1,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
AHS-2008DEV2,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
AHS-2008DEV2,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
AHS-2008DEV32B,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
AHS-2008DEV32B,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
AHS-AFGPRINT-Dev,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
